"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.501065552E1,6.501152639E1,2.546707277E1,2.599130796E1,6.641663313E-1,8.111432577E1,4.556151607E0,3.992149984E0
4.601044810E1,6.501152713E1,2.546709288E1,2.588931860E1,7.249590451E-1,8.004590099E1,4.565911613E0,3.912282665E0
4.701025665E1,6.501152862E1,2.546712120E1,2.559803579E1,9.570267085E-1,7.923939266E1,4.563811714E0,3.920595076E0
4.801007259E1,6.501153839E1,2.546713141E1,2.612092213E1,9.494779720E-1,7.128443029E1,4.567111611E0,3.877104988E0
4.900990129E1,6.501154268E1,2.546712640E1,2.664445316E1,6.425364151E-1,6.073520902E1,4.574417628E0,3.858404770E0
5.000974298E1,6.501155274E1,2.546713780E1,2.677825312E1,7.918820299E-1,4.458516345E1,4.578299334E0,3.836244308E0
5.100958908E1,6.501156237E1,2.546716640E1,2.625977985E1,1.071134275E0,4.522492308E1,4.583770197E0,3.825749369E0
5.200944865E1,6.501157428E1,2.546718589E1,2.655817771E1,1.080286707E0,4.351277011E1,4.589036388E0,3.815988158E0
5.300931227E1,6.501158212E1,2.546720587E1,2.684333341E1,1.048691280E0,4.457644429E1,4.607289397E0,3.764588960E0
5.400918615E1,6.501159703E1,2.546723338E1,2.725837907E1,1.337688362E0,4.658595554E1,4.614274176E0,3.745254692E0
5.500930393E1,6.501160697E1,2.546724604E1,2.759581274E1,1.304397659E0,4.298249084E1,4.637816121E0,3.729178393E0
5.600895500E1,6.501161623E1,2.546725457E1,2.752691242E1,1.169466594E0,3.954035118E1,4.657447496E0,3.699511220E0
5.700884759E1,6.501162895E1,2.546726128E1,2.754530921E1,1.084234463E0,3.499007623E1,4.656271247E0,3.683119467E0
5.800875139E1,6.501163536E1,2.546727930E1,2.738463158E1,1.044702247E0,4.054587396E1,4.671186083E0,3.656264577E0
5.900865722E1,6.501164671E1,2.546729358E1,2.734278216E1,1.094778615E0,4.021282165E1,4.699835475E0,3.641189685E0
6.000856817E1,6.501166011E1,2.546731082E1,2.736821428E1,1.179729395E0,3.700956666E1,4.709225703E0,3.626022001E0
6.100848544E1,6.501166939E1,2.546732633E1,2.727328417E1,1.094213153E0,3.918591579E1,4.725882332E0,3.617702218E0
6.200840807E1,6.501167975E1,2.546734050E1,2.710846289E1,1.091433975E0,3.987229491E1,4.727681092E0,3.591321001E0
6.300833654E1,6.501169386E1,2.546735993E1,2.686518606E1,1.171157666E0,4.069412580E1,4.744501358E0,3.578420845E0
6.400826406E1,6.501170606E1,2.546737931E1,2.673158684E1,1.258078964E0,3.930360401E1,4.757930334E0,3.570878591E0
6.500819767E1,6.501171773E1,2.546739456E1,2.683394811E1,1.251126989E0,3.906855653E1,4.759372488E0,3.559494158E0
6.600813520E1,6.501173006E1,2.546740954E1,2.713295320E1,1.245595703E0,3.690896115E1,4.763919914E0,3.539694935E0
6.700807583E1,6.501174386E1,2.546741541E1,2.751728772E1,1.150807551E0,3.713185720E1,4.774354161E0,3.520500447E0
6.800802016E1,6.501175338E1,2.546742583E1,2.789550357E1,1.130181923E0,3.661333829E1,4.783845204E0,3.510469076E0
6.900796735E1,6.501176577E1,2.546744363E1,2.803025111E1,1.071568181E0,3.878997759E1,4.756696091E0,3.513614411E0
7.000791800E1,6.501177773E1,2.546746138E1,2.809207808E1,1.011090591E0,3.806264915E1,4.757969087E0,3.557355472E0
7.100787091E1,6.501178987E1,2.546747211E1,2.751850044E1,9.289124125E-1,3.242780692E1,4.743303135E0,3.536315349E0
