"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.900532500E-1,-6.638069111E-1,-1.093958500E0,-1.150898101E0
8.001012500E-1,-4.913654683E-1,-1.016341098E0,-1.417038800E0
8.101482500E-1,-3.008213748E-1,-9.653867063E-1,-1.553436799E0
8.201952500E-1,-2.525199017E-1,-8.699773961E-1,-1.565280919E0
8.302422500E-1,-3.374632440E-1,-6.755580604E-1,-1.547736349E0
8.402892500E-1,-4.487057544E-1,-5.429791698E-1,-1.420207406E0
8.503362500E-1,-5.703718402E-1,-5.329789692E-1,-1.207679243E0
8.603832500E-1,-6.674279456E-1,-4.670013267E-1,-1.049796234E0
8.704302500E-1,-7.673374191E-1,-3.487986928E-1,-8.979726952E-1
8.804772500E-1,-9.518794189E-1,-1.595395249E-1,-5.994641501E-1
8.905242500E-1,-1.093710724E0,9.199687511E-2,-3.075050712E-1
9.005712500E-1,-1.075794417E0,3.277691817E-1,-1.978586680E-1
9.106182500E-1,-8.885982929E-1,5.250133073E-1,-2.026954848E-1
9.206652500E-1,-6.194845779E-1,6.308461565E-1,-2.054103470E-1
9.307122500E-1,-3.333370101E-1,7.368362957E-1,-3.586986136E-1
9.407592500E-1,-1.157795111E-1,8.255028892E-1,-4.870876819E-1
9.508062500E-1,8.578753408E-2,9.380647141E-1,-5.001871991E-1
9.608532500E-1,2.033579012E-1,1.143619780E0,-5.242227638E-1
9.709002500E-1,3.939670816E-1,1.404369637E0,-4.464647359E-1
9.809482500E-1,6.305431245E-1,1.622233969E0,-3.319996423E-1
9.909952500E-1,8.414467113E-1,1.693411833E0,-4.326524431E-1
1.001042250E0,1.028525160E0,1.636170807E0,-6.780799645E-1
1.011089250E0,1.212708653E0,1.528763303E0,-9.396054554E-1
1.021136250E0,1.289213111E0,1.327428173E0,-1.287319490E0
1.031183250E0,1.210539993E0,1.007760601E0,-1.642543688E0
1.041230250E0,9.450236316E-1,8.512168971E-1,-1.890711215E0
1.051277250E0,5.731695867E-1,1.011959779E0,-1.877670169E0
1.061324250E0,2.250837426E-1,1.282845200E0,-1.690080382E0
1.071371250E0,-9.911030531E-5,1.631098348E0,-1.560762776E0
1.081418250E0,4.531805919E-2,1.857990196E0,-1.421538232E0
1.091465250E0,3.197288217E-1,1.862617097E0,-1.260217060E0
1.101512250E0,8.031231098E-1,1.607274745E0,-1.221043639E0
1.111559250E0,2.279709515E0,6.416485950E-1,-9.456403667E-1
1.121606250E0,1.440427370E0,1.387087899E0,4.115849251E-1
1.131654250E0,8.933795612E-1,1.643515787E0,-2.007992327E-1
1.141701250E0,7.135177459E-1,1.589317946E0,-2.610460192E-1
1.151748250E0,8.172760029E-1,1.631420822E0,-1.514920020E-1
1.161795250E0,1.364239465E0,1.756897684E0,-3.544003254E-1
1.171842250E0,1.899674704E0,1.879788908E0,1.942088360E-1
1.181889250E0,1.763020450E0,1.871560414E0,6.281891817E-1
1.191936250E0,1.627090520E0,1.717377816E0,2.869398290E-1
1.201983250E0,1.303301100E0,1.354065164E0,5.565262914E-1
1.212030250E0,1.045991378E0,6.671924490E-1,1.302246847E0
1.222077250E0,7.273004372E-1,-9.651180267E-2,2.229935092E0
1.232124250E0,4.721166171E-2,-6.964510390E-1,3.158813830E0
1.242171250E0,-5.596246579E-1,-7.564522424E-1,3.456162872E0
1.252218250E0,-9.411550406E-1,-6.153513274E-1,3.574271951E0
